year,sample,island,pool,pool_suitable
1997,1,FO,18A,n
1997,1,LA,18A,n
1997,2,FO,18A,n
1997,2,LA,18A,n
1998,1,FO,18A,n
1998,1,LA,18A,n
1998,2,FO,18A,n
1998,2,LA,18A,n
1999,1,FO,18A,n
1999,1,LA,18A,n
1999,2,FO,18A,n
1999,2,LA,18A,n
2000,1,FO,18A,n
2000,1,LA,18A,n
2000,2,FO,18A,n
2000,2,LA,18A,n
2001,1,FO,18A,n
2001,1,LA,18A,n
2001,2,FO,18A,n
2001,2,LA,18A,n
2002,1,FO,18A,n
2002,1,LA,18A,n
2002,2,FO,18A,n
2002,2,LA,18A,n
2003,1,FO,18A,n
2003,1,LA,18A,n
2003,2,FO,18A,n
2003,2,LA,18A,n
2004,1,FO,18A,n
2004,1,LA,18A,n
2004,2,FO,18A,n
2004,2,LA,18A,n
2005,1,FO,18A,n
2005,1,LA,18A,n
2005,2,FO,18A,n
2005,2,LA,18A,n
2006,1,FO,18A,n
2006,1,LA,18A,n
2006,2,FO,18A,n
2006,2,LA,18A,n
2007,1,FO,18A,n
2007,1,LA,18A,n
2007,2,FO,18A,n
2007,2,LA,18A,n
2008,1,FO,18A,n
2008,1,LA,18A,n
2008,2,FO,18A,n
2008,2,LA,18A,n
2009,1,FO,18A,n
2009,1,LA,18A,n
2009,2,FO,18A,n
2009,2,LA,18A,n
2010,1,FO,18A,n
2010,2,FO,18A,n
2011,1,FO,18A,n
1982,2,FO,19A,n
1983,1,FO,19A,n
1983,2,FO,19A,n
1984,1,FO,19A,n
1984,2,FO,19A,n
1985,1,FO,19A,n
1985,2,FO,19A,n
1986,1,FO,19A,n
1986,2,FO,19A,n
1987,1,FO,19A,n
1987,2,FO,19A,n
1988,1,FO,19A,n
1988,2,FO,19A,n
1989,1,FO,19A,n
1989,2,FO,19A,n
1990,1,FO,19A,n
1990,2,FO,19A,n
1991,1,FO,19A,n
1991,2,FO,19A,n
1992,1,FO,19A,n
1992,2,FO,19A,n
1993,1,FO,19A,n
1993,2,FO,19A,n
1994,1,FO,19A,n
1994,2,FO,19A,n
1995,1,FO,19A,n
1995,2,FO,19A,n
1996,1,FO,19A,n
1996,2,FO,19A,n
1997,1,FO,19A,n
1997,2,FO,19A,n
1998,1,FO,19A,n
1998,2,FO,19A,n
1999,1,FO,19A,n
1999,2,FO,19A,n
2000,1,FO,19A,n
2000,2,FO,19A,n
2001,1,FO,19A,n
2001,2,FO,19A,n
2002,1,FO,19A,n
2002,2,FO,19A,n
2003,1,FO,19A,n
2003,2,FO,19A,n
2004,1,FO,19A,n
2004,2,FO,19A,n
2005,1,FO,19A,n
2005,2,FO,19A,n
2006,1,FO,19A,n
2006,2,FO,19A,n
2007,1,FO,19A,n
2007,2,FO,19A,n
2008,1,FO,19A,n
2008,2,FO,19A,n
2009,1,FO,19A,n
2009,2,FO,19A,n
2010,1,FO,19A,n
2010,2,FO,19A,n
2011,1,FO,19A,n
