poolname;year;sample;pool;island;water_VIP;magna_VIP;pulex_VIP;longispina_VIP;water_DE;magna_DE;longispina_DE;pulex_DE
FO-7;2010;1;7;FO;y;0;0;0;y;0;0;0
FO-7;2011;1;7;FO;y;0;0;1;y;0;0;1
FO-7;2011;2;7;FO;y;0;0;1;y;0;0;0
FO-7;2012;1;7;FO;y;0;0;0;y;0;0;0
FO-7;2012;2;7;FO;y;0;0;0;y;0;0;0
FO-8;2009;1;8;FO;y;0;0;0;y;0;0;0
FO-8;2009;2;8;FO;y;0;0;0;y;0;0;0
FO-8;2010;1;8;FO;y;0;0;0;y;0;0;0
FO-8;2011;1;8;FO;y;0;0;1;y;0;0;0
FO-8;2011;2;8;FO;y;0;0;0;y;0;0;0
FO-8;2012;1;8;FO;y;0;0;0;y;0;0;0
FO-8;2012;2;8;FO;y;0;0;0;y;0;0;0
FO-9;2009;1;9;FO;y;0;0;0;y;0;0;0
FO-9;2009;2;9;FO;y;0;0;0;y;0;0;0
FO-9;2010;1;9;FO;y;0;0;0;y;0;0;0
FO-9;2011;1;9;FO;y;0;0;0;y;0;0;0
FO-9;2011;2;9;FO;y;0;0;0;y;0;0;0
FO-9;2012;1;9;FO;y;0;0;0;y;0;0;0
FO-9;2012;2;9;FO;y;0;0;0;y;0;0;0
FS-1;2009;1;1;FS;y;1;0;0;y;1;0;0
FS-1;2009;2;1;FS;y;1;0;0;y;1;0;0
FS-1;2010;1;1;FS;y;1;0;0;y;0;0;0
FS-1;2011;1;1;FS;y;1;0;0;y;1;0;0
FS-1;2011;2;1;FS;y;1;0;0;y;1;0;0
FS-1;2012;1;1;FS;y;1;0;0;y;1;0;0
FS-1;2012;2;1;FS;y;1;0;0;y;1;0;0
FS-10;2009;1;10;FS;y;0;0;0;y;0;0;0
FS-10;2009;2;10;FS;y;0;0;0;y;0;0;0
FS-10;2010;1;10;FS;y;0;1;0;y;0;0;1
FS-10;2011;1;10;FS;y;0;0;0;n;NA;NA;NA
FS-10;2011;2;10;FS;y;0;1;1;y;0;0;1
FS-10;2012;2;10;FS;y;0;1;0;y;0;0;1
FS-11;2009;1;11;FS;y;0;0;0;y;0;0;0
FS-11;2009;2;11;FS;y;0;0;0;y;0;0;0
FS-11;2010;1;11;FS;y;0;1;0;y;0;0;1
FS-11;2011;1;11;FS;y;0;1;0;n;NA;NA;NA
FS-11;2011;2;11;FS;y;0;1;0;y;0;0;1
FS-11;2012;1;11;FS;y;0;1;0;n;NA;NA;NA
FS-11;2012;2;11;FS;y;0;1;0;y;0;0;1
FS-12;2009;1;12;FS;y;0;1;0;y;0;0;1
FS-12;2009;2;12;FS;y;1;1;0;y;1;0;0
FS-12;2010;1;12;FS;y;1;1;0;y;1;0;1
FS-12;2011;1;12;FS;y;0;1;0;y;1;0;1
FS-12;2011;2;12;FS;y;0;1;0;y;1;0;1
FS-12;2012;1;12;FS;y;0;1;0;y;0;0;1
FS-12;2012;2;12;FS;y;0;1;0;y;0;0;1
FS-13;2009;1;13;FS;y;1;0;0;y;1;0;0
FS-13;2009;2;13;FS;y;1;0;0;y;1;0;0
FS-13;2010;1;13;FS;y;1;0;0;y;1;0;1
FS-13;2011;1;13;FS;y;1;0;0;y;1;0;1
FS-13;2011;2;13;FS;y;1;1;1;y;1;0;0
FS-13;2012;1;13;FS;y;1;1;0;y;1;0;1
FS-13;2012;2;13;FS;y;1;1;0;y;1;0;0
FS-14;2009;1;14;FS;y;0;0;0;y;0;0;0
FS-14;2009;2;14;FS;y;0;0;0;y;0;0;0
FS-14;2010;1;14;FS;y;0;0;0;y;0;0;0
FS-14;2011;1;14;FS;y;1;1;0;y;0;0;1
FS-14;2011;2;14;FS;y;0;0;0;y;1;0;1
FS-14;2012;1;14;FS;y;0;0;0;y;1;0;0
FS-14;2012;2;14;FS;y;0;0;0;y;0;0;0
FS-15;2009;1;15;FS;y;0;0;0;y;0;0;0
FS-15;2009;2;15;FS;y;0;0;0;y;0;0;0
FS-15;2010;1;15;FS;y;0;0;0;y;0;0;0
FS-15;2011;1;15;FS;y;1;0;0;y;1;0;0
FS-15;2011;2;15;FS;y;1;0;0;y;1;0;0
FS-15;2012;1;15;FS;y;0;0;0;y;0;0;0
FS-15;2012;2;15;FS;y;0;0;0;y;0;0;0
FS-17;2009;1;17;FS;y;0;0;1;y;0;1;0
FS-17;2009;2;17;FS;y;0;0;1;y;0;1;0
FS-17;2010;1;17;FS;y;0;0;1;y;0;1;0
FS-17;2011;1;17;FS;y;1;0;1;y;0;1;0
FS-17;2011;2;17;FS;y;0;0;1;y;0;1;0
FS-17;2012;1;17;FS;y;0;0;1;y;0;1;0
FS-17;2012;2;17;FS;y;0;0;1;y;0;1;0
FS-18;2009;1;18;FS;y;0;0;0;y;0;0;0
FS-18;2009;2;18;FS;y;0;0;0;y;0;0;0
FS-18;2010;1;18;FS;y;0;0;0;y;0;0;0
FS-18;2011;1;18;FS;y;0;0;0;y;0;0;0
FS-18;2011;2;18;FS;y;0;0;0;y;0;0;0
FS-18;2012;1;18;FS;y;0;0;0;y;0;0;0
FS-18;2012;2;18;FS;y;0;0;0;y;0;0;0
FS-19;2009;1;19;FS;y;0;0;0;y;0;0;0
FS-19;2009;2;19;FS;y;0;0;0;y;0;0;0
FS-19;2010;1;19;FS;y;0;0;0;y;0;0;0
FS-19;2011;1;19;FS;y;0;0;0;y;0;0;0
FS-19;2011;2;19;FS;y;0;0;0;y;0;0;0
FS-19;2012;1;19;FS;y;0;0;0;y;0;1;0
FS-19;2012;2;19;FS;y;0;0;1;y;0;1;0
FS-2;2009;1;2;FS;y;0;0;0;y;0;0;0
FS-2;2009;2;2;FS;y;1;0;0;y;1;0;0
FS-2;2010;1;2;FS;y;1;0;0;y;0;0;0
FS-2;2011;1;2;FS;y;1;0;1;y;1;1;0
FS-2;2011;2;2;FS;y;0;0;1;y;1;1;0
FS-2;2012;1;2;FS;y;1;0;0;y;1;1;0
FS-2;2012;2;2;FS;y;1;0;1;y;1;1;0
FS-20;2009;1;20;FS;y;1;0;0;y;1;0;0
FS-20;2009;2;20;FS;y;1;0;0;y;1;0;0
FS-20;2010;1;20;FS;y;1;0;1;y;1;1;0
FS-20;2011;1;20;FS;y;1;0;1;y;1;1;0
FS-20;2011;2;20;FS;y;0;0;1;y;1;1;0
FS-20;2012;1;20;FS;y;0;0;0;y;0;0;0
FS-20;2012;2;20;FS;y;0;0;1;y;0;1;0
FS-21;2009;1;21;FS;y;0;0;0;y;0;0;0
FS-21;2009;2;21;FS;y;0;0;0;y;1;0;0
FS-21;2010;1;21;FS;y;1;0;0;y;1;0;0
FS-21;2011;1;21;FS;y;1;0;1;n;NA;NA;NA
FS-21;2011;2;21;FS;y;1;0;1;y;1;0;0
FS-21;2012;1;21;FS;y;0;0;0;n;NA;NA;NA
FS-21;2012;2;21;FS;y;1;0;1;y;1;1;0
FS-22;2009;1;22;FS;y;0;0;0;y;0;0;0
FS-22;2009;2;22;FS;y;1;0;0;y;0;0;0
FS-22;2010;1;22;FS;y;0;0;0;y;0;0;0
FS-22;2011;1;22;FS;y;1;0;0;y;0;1;0
FS-22;2011;2;22;FS;y;1;0;1;y;1;0;0
FS-22;2012;1;22;FS;y;0;0;0;y;0;0;0
FS-22;2012;2;22;FS;y;0;0;1;y;0;1;0
FS-23;2009;1;23;FS;y;0;0;0;y;0;0;0
FS-23;2009;2;23;FS;y;0;0;0;y;0;0;0
FS-23;2010;1;23;FS;y;0;0;0;y;0;1;0
FS-23;2011;1;23;FS;y;0;0;1;y;0;1;0
FS-23;2011;2;23;FS;y;0;0;1;y;0;0;0
FS-23;2012;1;23;FS;y;0;0;0;y;0;0;0
FS-23;2012;2;23;FS;y;0;0;1;y;0;1;0
FS-25;2009;1;25;FS;y;0;0;0;y;0;0;0
FS-25;2009;2;25;FS;y;0;0;0;y;0;0;0
FS-25;2010;1;25;FS;y;0;0;0;y;0;0;0
FS-25;2011;1;25;FS;y;0;0;0;y;0;0;0
FS-25;2011;2;25;FS;y;0;0;0;y;0;0;0
FS-25;2012;1;25;FS;y;0;0;0;y;0;0;0
FS-25;2012;2;25;FS;y;0;0;0;y;0;0;0
FS-26;2009;1;26;FS;y;1;0;1;y;1;1;0
FS-26;2009;2;26;FS;y;1;0;1;y;1;1;0
FS-26;2010;1;26;FS;y;1;0;1;y;1;1;0
FS-26;2011;1;26;FS;y;1;0;1;y;1;1;0
FS-26;2011;2;26;FS;y;1;0;1;y;1;1;0
FS-26;2012;1;26;FS;y;1;0;1;y;1;1;0
FS-26;2012;2;26;FS;y;0;0;1;y;0;1;0
FS-27;2009;1;27;FS;y;0;0;0;y;0;0;0
FS-27;2009;2;27;FS;y;0;0;1;y;0;0;0
FS-27;2010;1;27;FS;y;1;0;0;y;1;1;0
FS-27;2011;1;27;FS;y;1;0;0;y;1;1;0
FS-27;2011;2;27;FS;y;1;0;1;y;1;1;0
FS-27;2012;1;27;FS;y;1;0;0;y;1;1;0
FS-27;2012;2;27;FS;y;1;0;1;y;1;1;0
FS-28;2009;1;28;FS;y;0;0;0;y;0;0;0
FS-28;2009;2;28;FS;y;0;0;0;y;0;0;0
FS-28;2011;1;28;FS;y;0;0;0;n;NA;NA;NA
FS-28;2012;2;28;FS;y;0;0;0;y;0;0;0
FS-29;2009;1;29;FS;y;0;0;0;y;0;0;0
FS-29;2009;2;29;FS;y;0;0;0;y;0;0;0
FS-29;2010;1;29;FS;y;1;0;0;y;1;0;0
FS-29;2011;1;29;FS;y;0;0;0;n;NA;NA;NA
FS-29;2011;2;29;FS;y;1;0;0;y;1;0;0
FS-29;2012;1;29;FS;y;1;0;0;y;1;0;0
FS-29;2012;2;29;FS;y;1;0;0;y;1;0;0
FS-3;2009;1;3;FS;y;1;0;0;y;1;0;0
FS-3;2009;2;3;FS;y;1;0;0;y;1;0;0
FS-3;2010;1;3;FS;y;1;0;0;y;1;0;0
FS-3;2011;1;3;FS;y;1;0;1;y;1;1;0
FS-3;2011;2;3;FS;y;1;0;1;y;1;1;0
FS-3;2012;1;3;FS;y;1;0;0;y;1;0;0
FS-3;2012;2;3;FS;y;1;0;1;y;1;1;0
FS-30;2009;1;30;FS;y;1;0;1;y;1;0;0
FS-30;2009;2;30;FS;y;1;0;1;y;1;1;0
FS-30;2010;1;30;FS;y;1;0;1;y;1;1;0
FS-30;2011;1;30;FS;y;1;0;1;y;1;1;0
FS-30;2011;2;30;FS;y;1;0;1;y;1;1;0
FS-30;2012;1;30;FS;y;1;0;1;y;1;1;0
FS-30;2012;2;30;FS;y;1;0;1;y;1;1;0
FS-31;2009;1;31;FS;y;1;0;0;y;1;1;0
FS-31;2009;2;31;FS;y;1;0;1;y;1;1;0
FS-31;2010;1;31;FS;y;1;0;1;y;1;1;0
FS-31;2011;1;31;FS;y;1;0;1;y;1;1;0
FS-31;2011;2;31;FS;y;1;0;1;y;1;1;0
FS-31;2012;1;31;FS;y;1;0;1;y;1;1;0
FS-4;2009;1;4;FS;y;0;0;0;y;0;0;0
FS-4;2009;2;4;FS;y;0;0;1;y;0;1;0
FS-4;2010;1;4;FS;y;0;0;1;y;0;1;0
FS-4;2011;1;4;FS;y;0;0;0;y;0;1;0
FS-4;2011;2;4;FS;y;0;0;1;y;0;1;0
FS-4;2012;1;4;FS;y;0;0;1;y;0;0;0
FS-4;2012;2;4;FS;y;0;0;1;y;0;1;0
FS-5;2009;1;5;FS;y;0;0;1;y;0;1;0
FS-5;2009;2;5;FS;y;0;0;1;y;0;1;0
FS-5;2010;1;5;FS;y;0;0;1;y;0;1;0
FS-5;2011;1;5;FS;y;0;0;1;y;0;1;0
FS-5;2011;2;5;FS;y;0;0;1;y;0;1;0
FS-5;2012;1;5;FS;y;0;0;1;y;0;1;0
FS-5;2012;2;5;FS;y;0;0;0;y;0;0;0
FS-6;2009;1;6;FS;y;0;0;1;y;0;1;0
FS-6;2009;2;6;FS;y;0;0;1;y;0;1;0
FS-6;2010;1;6;FS;y;0;0;1;y;0;1;0
FS-6;2011;1;6;FS;y;0;0;1;y;0;1;0
FS-6;2011;2;6;FS;y;0;0;1;y;0;1;0
FS-6;2012;1;6;FS;y;0;0;1;y;0;1;0
FS-6;2012;2;6;FS;y;0;0;1;y;0;1;0
FS-9;2009;1;9;FS;y;0;0;0;y;0;0;0
FS-9;2009;2;9;FS;y;0;0;0;y;0;0;0
FS-9;2011;1;9;FS;y;0;0;0;n;NA;NA;NA
FS-9;2011;2;9;FS;y;0;0;0;y;0;0;0
FSS-1;2009;1;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2009;2;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2010;1;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2011;1;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2011;2;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2012;1;1;FSS;y;0;0;0;y;0;0;0
FSS-1;2012;2;1;FSS;y;0;0;0;y;0;0;0
FSS-10;2009;1;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2009;2;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2010;1;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2011;1;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2011;2;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2012;1;10;FSS;y;0;0;0;y;0;0;0
FSS-10;2012;2;10;FSS;y;0;0;0;y;0;0;0
FSS-12;2009;1;12;FSS;y;0;0;0;y;0;0;0
FSS-12;2009;2;12;FSS;y;0;0;0;y;0;0;0
FSS-12;2010;1;12;FSS;y;0;0;1;y;0;0;0
FSS-12;2011;1;12;FSS;y;0;0;0;y;0;0;0
FSS-12;2011;2;12;FSS;y;0;0;0;y;0;0;0
FSS-12;2012;1;12;FSS;y;0;0;0;y;0;0;0
FSS-12;2012;2;12;FSS;y;0;0;0;y;0;0;0
FSS-13;2009;1;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2009;2;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2010;1;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2011;1;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2011;2;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2012;1;13;FSS;y;0;0;0;y;0;0;0
FSS-13;2012;2;13;FSS;y;0;0;0;y;0;0;0
FSS-15;2009;1;15;FSS;y;1;0;0;y;1;0;0
FSS-15;2009;2;15;FSS;y;1;0;0;y;1;0;0
FSS-15;2010;1;15;FSS;y;1;0;0;y;1;0;0
FSS-15;2011;1;15;FSS;y;1;0;0;y;1;0;0
FSS-15;2011;2;15;FSS;y;1;0;0;y;1;0;0
FSS-15;2012;1;15;FSS;y;0;0;0;y;0;0;0
FSS-15;2012;2;15;FSS;y;0;0;0;y;0;0;0
FSS-16;2009;1;16;FSS;y;0;0;0;y;0;0;0
FSS-16;2009;2;16;FSS;y;0;0;0;y;0;0;0
FSS-16;2010;1;16;FSS;y;1;0;0;y;0;0;0
FSS-16;2011;1;16;FSS;y;1;0;0;y;1;0;0
FSS-16;2011;2;16;FSS;y;1;0;0;y;1;0;0
FSS-16;2012;1;16;FSS;y;1;0;0;y;1;0;0
FSS-16;2012;2;16;FSS;y;1;0;0;y;1;0;0
FSS-17;2009;1;17;FSS;y;0;0;0;y;0;0;0
FSS-17;2009;2;17;FSS;y;0;0;0;y;0;0;0
FSS-17;2011;1;17;FSS;y;0;0;0;n;NA;NA;NA
FSS-17;2011;2;17;FSS;y;0;0;0;y;0;0;0
FSS-18;2009;1;18;FSS;y;1;0;0;y;0;0;0
FSS-18;2009;2;18;FSS;y;1;0;0;y;1;0;0
FSS-18;2010;1;18;FSS;y;1;0;1;y;1;0;0
FSS-18;2011;1;18;FSS;y;1;0;0;y;1;0;0
FSS-18;2011;2;18;FSS;y;1;0;1;y;1;1;0
FSS-18;2012;1;18;FSS;y;1;0;0;y;1;0;0
FSS-18;2012;2;18;FSS;y;1;0;0;y;1;0;0
FSS-2;2009;1;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2009;2;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2010;1;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2011;1;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2011;2;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2012;1;2;FSS;y;0;0;0;y;0;0;0
FSS-2;2012;2;2;FSS;y;0;0;0;y;0;0;0
FSS-3;2009;1;3;FSS;y;0;0;0;y;0;0;0
